node1  | [13:17:44] [node1] PBFT COMMIT seq=69 value=transfer (quorum 3/5, Byzantine-safe)
node1  | [13:17:44] [node1] LEDGER append seq=69 -> /data/node1.log
node1  | [13:17:45] [node1] PBFT PREPARED seq=70 -> broadcasting COMMIT
node1  | [13:17:45] [node1] PBFT COMMIT seq=70 value=transfer (quorum 3/5, Byzantine-safe)
node1  | [13:17:45] [node1] LEDGER append seq=70 -> /data/node1.log
node1  | [13:17:45] [node1] PBFT PREPARED seq=71 -> broadcasting COMMIT
node1  | [13:17:45] [node1] PBFT COMMIT seq=71 value=transfer (quorum 3/5, Byzantine-safe)
node1  | [13:17:45] [node1] LEDGER append seq=71 -> /data/node1.log
node1  | [13:17:45] [node1] PBFT PREPARED seq=72 -> broadcasting COMMIT
node1  | [13:17:45] [node1] PBFT COMMIT seq=72 value=transfer (quorum 3/5, Byzantine-safe)
node1  | [13:17:45] [node1] LEDGER append seq=72 -> /data/node1.log
node1  | [13:17:46] [node1] PBFT PREPARED seq=73 -> broadcasting COMMIT
node1  | [13:17:46] [node1] PBFT COMMIT seq=73 value=transfer (quorum 3/5, Byzantine-safe)
node1  | [13:17:46] [node1] LEDGER append seq=73 -> /data/node1.log
node1  | [13:17:46] [node1] PBFT PREPARED seq=74 -> broadcasting COMMIT
node1  | [13:17:46] [node1] PBFT COMMIT seq=74 value=transfer (quorum 3/5, Byzantine-safe)
node1  | [13:17:46] [node1] LEDGER append seq=74 -> /data/node1.log
node1  | [13:17:46] [node1] PBFT PREPARED seq=75 -> broadcasting COMMIT
node1  | [13:17:46] [node1] PBFT COMMIT seq=75 value=transfer (quorum 3/5, Byzantine-safe)
node1  | [13:17:46] [node1] LEDGER append seq=75 -> /data/node1.log
node1  | [13:17:47] [node1] PBFT PREPARED seq=76 -> broadcasting COMMIT
node1  | [13:17:47] [node1] PBFT COMMIT seq=76 value=transfer (quorum 3/5, Byzantine-safe)
node1  | [13:17:47] [node1] LEDGER append seq=76 -> /data/node1.log
node1  | [13:17:47] [node1] PBFT PREPARED seq=77 -> broadcasting COMMIT
node1  | [13:17:47] [node1] PBFT COMMIT seq=77 value=transfer (quorum 3/5, Byzantine-safe)
node1  | [13:17:47] [node1] LEDGER append seq=77 -> /data/node1.log
node1  | [13:17:47] [node1] PBFT PREPARED seq=78 -> broadcasting COMMIT
node1  | [13:17:47] [node1] PBFT COMMIT seq=78 value=transfer (quorum 3/5, Byzantine-safe)
node1  | [13:17:47] [node1] LEDGER append seq=78 -> /data/node1.log
node1  | [13:17:48] [node1] PBFT PREPARED seq=79 -> broadcasting COMMIT
node1  | [13:17:48] [node1] PBFT COMMIT seq=79 value=transfer (quorum 3/5, Byzantine-safe)
node1  | [13:17:48] [node1] LEDGER append seq=79 -> /data/node1.log
