node3  | [12:24:44] [node3] PAXOS LEARN/DECIDE slot=248 value=transfer
node3  | [12:24:44] [node3] LEDGER append seq=248 -> /data/node3.log
node3  | [12:24:44] [node3] PAXOS LEARN/DECIDE slot=249 value=transfer
node3  | [12:24:44] [node3] LEDGER append seq=249 -> /data/node3.log
node3  | [12:24:45] [node3] PAXOS LEARN/DECIDE slot=250 value=transfer
node3  | [12:24:45] [node3] LEDGER append seq=250 -> /data/node3.log
node3  | [12:24:45] [node3] PAXOS LEARN/DECIDE slot=251 value=transfer
node3  | [12:24:45] [node3] LEDGER append seq=251 -> /data/node3.log
node3  | [12:24:45] [node3] PAXOS LEARN/DECIDE slot=252 value=transfer
node3  | [12:24:45] [node3] LEDGER append seq=252 -> /data/node3.log
node3  | [12:24:46] [node3] PAXOS LEARN/DECIDE slot=253 value=transfer
node3  | [12:24:46] [node3] LEDGER append seq=253 -> /data/node3.log
node3  | [12:24:46] [node3] PAXOS LEARN/DECIDE slot=254 value=transfer
node3  | [12:24:46] [node3] LEDGER append seq=254 -> /data/node3.log
node2  | [12:24:42] [node2] LEDGER append seq=243 -> /data/node2.log
node2  | [12:24:43] [node2] PAXOS LEARN/DECIDE slot=244 value=transfer
node2  | [12:24:43] [node2] LEDGER append seq=244 -> /data/node2.log
node2  | [12:24:43] [node2] PAXOS LEARN/DECIDE slot=245 value=transfer
node2  | [12:24:43] [node2] LEDGER append seq=245 -> /data/node2.log
node3  | [12:24:46] [node3] PAXOS LEARN/DECIDE slot=255 value=transfer
node3  | [12:24:46] [node3] LEDGER append seq=255 -> /data/node3.log
node3  | [12:24:47] [node3] PAXOS LEARN/DECIDE slot=256 value=transfer
node3  | [12:24:47] [node3] LEDGER append seq=256 -> /data/node3.log
node3  | [12:24:47] [node3] PAXOS LEARN/DECIDE slot=257 value=transfer
node4  | [12:24:29] [node4] PAXOS LEARN/DECIDE slot=206 value=transfer
node2  | [12:24:43] [node2] PAXOS LEARN/DECIDE slot=246 value=transfer
node2  | [12:24:43] [node2] LEDGER append seq=246 -> /data/node2.log
node4  | [12:24:29] [node4] LEDGER append seq=206 -> /data/node4.log
node2  | [12:24:44] [node2] PAXOS LEARN/DECIDE slot=247 value=transfer
node4  | [12:24:29] [node4] PAXOS LEARN/DECIDE slot=207 value=transfer
node4  | [12:24:29] [node4] LEDGER append seq=207 -> /data/node4.log
node4  | [12:24:29] [node4] PAXOS LEARN/DECIDE slot=208 value=transfer
node3  | [12:24:47] [node3] LEDGER append seq=257 -> /data/node3.log
node3  | [12:24:48] [node3] PAXOS LEARN/DECIDE slot=258 value=transfer
node2  | [12:24:44] [node2] LEDGER append seq=247 -> /data/node2.log
node3  | [12:24:48] [node3] LEDGER append seq=258 -> /data/node3.log
node2  | [12:24:44] [node2] PAXOS LEARN/DECIDE slot=248 value=transfer
node3  | [12:24:48] [node3] PAXOS LEARN/DECIDE slot=259 value=transfer
node4  | [12:24:29] [node4] LEDGER append seq=208 -> /data/node4.log
node3  | [12:24:48] [node3] LEDGER append seq=259 -> /data/node3.log
node4  | [12:24:30] [node4] PAXOS LEARN/DECIDE slot=209 value=transfer
node2  | [12:24:44] [node2] LEDGER append seq=248 -> /data/node2.log
node4  | [12:24:30] [node4] LEDGER append seq=209 -> /data/node4.log
node2  | [12:24:44] [node2] PAXOS LEARN/DECIDE slot=249 value=transfer
node2  | [12:24:44] [node2] LEDGER append seq=249 -> /data/node2.log
node2  | [12:24:45] [node2] PAXOS LEARN/DECIDE slot=250 value=transfer
node2  | [12:24:45] [node2] LEDGER append seq=250 -> /data/node2.log
node2  | [12:24:45] [node2] PAXOS LEARN/DECIDE slot=251 value=transfer
node2  | [12:24:45] [node2] LEDGER append seq=251 -> /data/node2.log
node2  | [12:24:45] [node2] PAXOS LEARN/DECIDE slot=252 value=transfer
node2  | [12:24:45] [node2] LEDGER append seq=252 -> /data/node2.log
node2  | [12:24:46] [node2] PAXOS LEARN/DECIDE slot=253 value=transfer
node4  | [12:24:30] [node4] PAXOS LEARN/DECIDE slot=210 value=transfer
node2  | [12:24:46] [node2] LEDGER append seq=253 -> /data/node2.log
node2  | [12:24:46] [node2] PAXOS LEARN/DECIDE slot=254 value=transfer
node2  | [12:24:46] [node2] LEDGER append seq=254 -> /data/node2.log
node2  | [12:24:46] [node2] PAXOS LEARN/DECIDE slot=255 value=transfer
node2  | [12:24:46] [node2] LEDGER append seq=255 -> /data/node2.log
